[14:12:28 +00:-1] [Thread 815146018] SpyGlass: Name: Rory Flannigan || UID: 76561198057298594 || Unknown Addon Patch: A3_Data_F_Exp_B
[14:12:32 +00:-1] [Thread 815146018] SpyGlass: Name: Rory Flannigan || UID: 76561198057298594 || Unknown Addon Patch: A3_Data_F_Exp_A
[19:10:36 +00:-1] [Thread 4101202407] SpyGlass: Name: Rory Flannigan || UID: 76561198057298594 || Unknown Addon Patch: A3_Data_F_Exp_B
[19:11:02 +00:-1] [Thread 4101202407] SpyGlass: Name: Aaron Strife || UID: 76561198134286847 || Unknown Addon Patch: A3_Data_F_Exp_B
[19:11:26 +00:-1] [Thread 4101202407] SpyGlass: Name: D Chief. Tom Perez || UID: 76561198187969689 || Unknown Addon Patch: A3_Data_F_Exp_B
[19:11:35 +00:-1] [Thread 4101202407] SpyGlass: Name: D Chief. Tom Perez || UID: 76561198187969689 || Unknown Addon Patch: BaBe_core
[19:11:35 +00:-1] [Thread 4101202407] SpyGlass: Name: Aaron Strife || UID: 76561198134286847 || Unknown Addon Patch: BaBe_core
[19:11:35 +00:-1] [Thread 4101202407] SpyGlass: Name: Rory Flannigan || UID: 76561198057298594 || Unknown Addon Patch: BaBe_core
[19:11:54 +00:-1] [Thread 4101202407] SpyGlass: Name: Aaron Strife || UID: 76561198134286847 || Unknown Addon Patch: A3_Data_F_Exp_B
[19:11:55 +00:-1] [Thread 4101202407] SpyGlass: Name: Aaron Strife || UID: 76561198134286847 || Unknown Addon Patch: BaBe_core
[19:12:00 +00:-1] [Thread 4101202407] SpyGlass: Name: D Chief. Tom Perez || UID: 76561198187969689 || Unknown Addon Patch: A3_Data_F_Exp_B
[19:12:00 +00:-1] [Thread 4101202407] SpyGlass: Name: D Chief. Tom Perez || UID: 76561198187969689 || Unknown Addon Patch: BaBe_core
[19:12:06 +00:-1] [Thread 4101202407] SpyGlass: Name: Aaron Strife || UID: 76561198134286847 || Unknown Addon Patch: A3_Data_F_Exp_B
[19:12:06 +00:-1] [Thread 4101202407] SpyGlass: Name: Aaron Strife || UID: 76561198134286847 || Unknown Addon Patch: BaBe_core
